window_label,replica_idx,max_score
2022-Q1,0,22.030567581345053
2022-Q1,1,57.31333996925062
2022-Q1,2,20.112126838739766
2022-Q1,3,0.3388883509087651
2022-Q1,4,0.4862073412873158
2022-Q1,5,22.330804439396864
2022-Q1,6,0.0
2022-Q1,7,35.976564332738825
2022-Q1,8,36.29557846094973
2022-Q1,9,31.14592915787898
2022-Q1,10,24.96248385708067
2022-Q1,11,30.068548511985867
2022-Q1,12,5.489107583000207
2022-Q1,13,77.51222160228022
2022-Q1,14,27.13935212659132
2022-Q2,0,28.585343777261784
2022-Q2,1,66.95824247362722
2022-Q2,2,35.732822183231605
2022-Q2,3,21.125965908202904
2022-Q2,4,65.13791528178359
2022-Q2,5,32.451752490606374
2022-Q2,6,0.0
2022-Q2,7,1.1527155536141784
2022-Q2,8,82.63284814037354
2022-Q2,9,62.41761109254956
2022-Q2,10,14.963976033270807
2022-Q2,11,35.56721863612431
2022-Q2,12,2.3295696398177514
2022-Q2,13,68.59088864141653
2022-Q2,14,59.73598205229962
2022-Q3,0,23.889760237797812
2022-Q3,1,5.325346390824503
2022-Q3,2,14.455620621194967
2022-Q3,3,4.254484699771902
2022-Q3,4,3.485735929261258
2022-Q3,5,9.276825461092104
2022-Q3,6,13.516299270415209
2022-Q3,7,20.66641877733904
2022-Q3,8,10.349095011577905
2022-Q3,9,38.09032495747944
2022-Q3,10,0.0
2022-Q3,11,0.0
2022-Q3,12,22.21252210399687
2022-Q3,13,4.638340579824568
2022-Q3,14,31.790381961202147
2022-Q4,0,5.550909140816767
2022-Q4,1,29.259334489527046
2022-Q4,2,14.19328316570264
2022-Q4,3,9.23290589271952
2022-Q4,4,2.8123727676328616
2022-Q4,5,7.756073606784894
2022-Q4,6,25.183692384667637
2022-Q4,7,26.926238228731812
2022-Q4,8,0.0
2022-Q4,9,19.43296861418262
2022-Q4,10,0.0
2022-Q4,11,21.71807512971266
2022-Q4,12,5.641673820844201
2022-Q4,13,38.460574684073805
2022-Q4,14,51.43838347395494
2023-Q1,0,31.340475448555253
2023-Q1,1,9.979083861285972
2023-Q1,2,40.75525662191184
2023-Q1,3,43.468558638064366
2023-Q1,4,38.236500393962004
2023-Q1,5,16.589912903528358
2023-Q1,6,25.48295257375323
2023-Q1,7,158.9951775433441
2023-Q1,8,51.337585421105146
2023-Q1,9,64.95522005717626
2023-Q1,10,1.8184796961996785
2023-Q1,11,6.699086661830158
2023-Q1,12,156.8138156412888
2023-Q1,13,17.482005069008853
2023-Q1,14,41.443148792582754
2023-Q2,0,4.041941366155714
2023-Q2,1,1.9719327553847732
2023-Q2,2,40.39203868770785
2023-Q2,3,1.7616497816743477
2023-Q2,4,126.68859410406789
2023-Q2,5,101.21230451055123
2023-Q2,6,14.05431179965875
2023-Q2,7,5.517460272490706
2023-Q2,8,0.0
2023-Q2,9,43.33555046096597
2023-Q2,10,20.45044555072888
2023-Q2,11,16.736855911828993
2023-Q2,12,119.74705637403088
2023-Q2,13,96.2657450453315
2023-Q2,14,36.76461567381373
2023-Q3,0,6.386086998301988
2023-Q3,1,143.65862539614892
2023-Q3,2,42.84455378427436
2023-Q3,3,10.649576371490982
2023-Q3,4,61.817519695007775
2023-Q3,5,4.829071697028792
2023-Q3,6,146.92593156230055
2023-Q3,7,49.39304626347782
2023-Q3,8,51.86242287101244
2023-Q3,9,57.96066585245286
2023-Q3,10,96.79549771525703
2023-Q3,11,50.94085493610637
2023-Q3,12,49.9370437490995
2023-Q3,13,155.70017380611085
2023-Q3,14,57.92069469278833
2023-Q4,0,19.057962591100107
2023-Q4,1,71.29804732223879
2023-Q4,2,26.799978941634905
2023-Q4,3,82.13011522652594
2023-Q4,4,0.0
2023-Q4,5,23.93967329863066
2023-Q4,6,1.3599483391795513
2023-Q4,7,65.78290865869403
2023-Q4,8,88.12434870960709
2023-Q4,9,103.25983441708016
2023-Q4,10,47.97916839270351
2023-Q4,11,13.550493190682495
2023-Q4,12,46.30060380015476
2023-Q4,13,84.80458748046301
2023-Q4,14,3.447234597748288
2024-Q1,0,65.37197742665722
2024-Q1,1,12.063974799406882
2024-Q1,2,9.028065351077645
2024-Q1,3,82.81660516229796
2024-Q1,4,50.99380710457732
2024-Q1,5,16.645551983523102
2024-Q1,6,95.33809475937635
2024-Q1,7,1.4256620395231918
2024-Q1,8,129.96711387000533
2024-Q1,9,172.86090778234947
2024-Q1,10,107.55440910289785
2024-Q1,11,1.0267411507233435
2024-Q1,12,1.7607459539231165
2024-Q1,13,29.38438569113311
2024-Q1,14,97.7907569581393
2024-Q2,0,76.91791574067747
2024-Q2,1,0.0
2024-Q2,2,23.133105998679888
2024-Q2,3,45.45167371396991
2024-Q2,4,73.95473414214112
2024-Q2,5,64.65863299550706
2024-Q2,6,26.146117109029
2024-Q2,7,11.153988439807758
2024-Q2,8,3.8400701433335085
2024-Q2,9,0.6564418970552148
2024-Q2,10,0.0
2024-Q2,11,78.58227407494347
2024-Q2,12,45.74801205813368
2024-Q2,13,61.192294349863886
2024-Q2,14,84.03399754343292
2024-Q3,0,31.981747684994545
2024-Q3,1,53.3734947028086
2024-Q3,2,77.08692326451929
2024-Q3,3,79.47744045136832
2024-Q3,4,92.31134336326994
2024-Q3,5,122.24256508460985
2024-Q3,6,85.43155059680149
2024-Q3,7,139.09715114402033
2024-Q3,8,25.257425417983388
2024-Q3,9,295.8792836080123
2024-Q3,10,151.0939175263957
2024-Q3,11,2.311983189351616
2024-Q3,12,141.69963596014117
2024-Q3,13,207.63701746298187
2024-Q3,14,65.55439184632846
2024-Q4,0,8.436529803662225
2024-Q4,1,56.896779292746146
2024-Q4,2,75.69275075421419
2024-Q4,3,118.8345724018088
2024-Q4,4,0.0
2024-Q4,5,17.44935463325347
2024-Q4,6,13.156973827335541
2024-Q4,7,25.96827431113975
2024-Q4,8,78.31164867507667
2024-Q4,9,0.0
2024-Q4,10,117.35922628230294
2024-Q4,11,160.19328182687477
2024-Q4,12,190.12287372540442
2024-Q4,13,24.783384398095862
2024-Q4,14,8.399452811833527
