method,j,r,n_ramp_common,n_detected,median_ttd
Poisson-MDSS,2,1.5,2,0,
Poisson-MDSS,2,2.0,2,0,
Poisson-MDSS,2,3.0,2,0,
Poisson-MDSS,3,1.5,2,0,
Poisson-MDSS,3,2.0,2,0,
Poisson-MDSS,3,3.0,2,0,
fgss,2,1.5,2,0,
fgss,2,2.0,2,0,
fgss,2,3.0,2,0,
fgss,3,1.5,2,0,
fgss,3,2.0,2,0,
fgss,3,3.0,2,1,3.0
fpgrowth_epm,2,1.5,2,0,
fpgrowth_epm,2,2.0,2,0,
fpgrowth_epm,2,3.0,2,1,3.0
fpgrowth_epm,3,1.5,2,0,
fpgrowth_epm,3,2.0,2,1,4.0
fpgrowth_epm,3,3.0,2,0,
moving_average_mdss,2,1.5,2,0,
moving_average_mdss,2,2.0,2,0,
moving_average_mdss,2,3.0,2,0,
moving_average_mdss,3,1.5,2,0,
moving_average_mdss,3,2.0,2,0,
moving_average_mdss,3,3.0,2,0,
