method,j,r,n_injected,power,power_lo,power_hi,n_clean,fpr,fpr_lo,fpr_hi
poisson_mdss,2,1.5,167,0.15568862275449102,0.10851568103481082,0.2183456043122212,167,0.0658682634730539,0.0371745625837038,0.11408531894081486
poisson_mdss,2,2.0,184,0.31521739130434784,0.2524482759663829,0.38554431402457295,184,0.13043478260869565,0.08924167071913741,0.18674350926277428
poisson_mdss,2,3.0,159,0.46540880503144655,0.38960900146425365,0.542840633415816,159,0.08176100628930817,0.048402298802567155,0.13485237747463794
poisson_mdss,3,1.5,122,0.13934426229508196,0.08885464521670264,0.211852762145864,122,0.06557377049180328,0.03359886877221732,0.12407141736905616
poisson_mdss,3,2.0,83,0.26506024096385544,0.18204414020123172,0.3688616077028284,83,0.03614457831325301,0.012367803271745428,0.10095892976960381
poisson_mdss,3,3.0,118,0.5932203389830508,0.5030073159832378,0.6775551970803648,118,0.07627118644067797,0.040643209517551585,0.13861809473879955
fgss,2,1.5,169,0.27218934911242604,0.21070535101438018,0.3437996819483429,169,0.10059171597633136,0.0637566229722695,0.15518077248185524
fgss,2,2.0,139,0.2733812949640288,0.20613202597647923,0.3528195520868435,139,0.08633093525179857,0.050073960851651174,0.14483764989885875
fgss,2,3.0,151,0.3576158940397351,0.28557207961635744,0.4367245176419141,151,0.11258278145695365,0.07148925066793947,0.17289916512782239
fgss,3,1.5,113,0.23008849557522124,0.16213199109310023,0.3157930483947145,113,0.08849557522123894,0.04877938009471883,0.1552702702719496
fgss,3,2.0,118,0.2457627118644068,0.1769119403657985,0.33064484218801216,118,0.11016949152542373,0.06552292612396562,0.1793974737918774
fgss,3,3.0,126,0.4523809523809524,0.36816656509433465,0.5394130315230174,126,0.09523809523809523,0.05532161543536931,0.15910495581212467
moving_average_mdss,2,1.5,154,0.16233766233766234,0.11244319425265484,0.2286678118351522,154,0.07142857142857142,0.04034974456347372,0.12336807085566588
moving_average_mdss,2,2.0,145,0.16551724137931034,0.1138232807472894,0.2344765762377616,145,0.04827586206896552,0.023578866003960433,0.09629001301708787
moving_average_mdss,2,3.0,142,0.30985915492957744,0.23964916767997269,0.39008574832638243,142,0.07746478873239436,0.04380343414653389,0.13338526808981097
moving_average_mdss,3,1.5,115,0.10434782608695652,0.06070503442056426,0.17356892263932694,115,0.06086956521739131,0.029795116013329806,0.12033312204215384
moving_average_mdss,3,2.0,116,0.1724137931034483,0.11447441060238225,0.2513544040008293,116,0.05172413793103448,0.02391865346304596,0.1082681454676646
moving_average_mdss,3,3.0,76,0.3026315789473684,0.21091334677752482,0.4133420157481873,76,0.10526315789473684,0.054311261828219104,0.1941994632232051
epm,2,1.5,152,0.03289473684210526,0.01413092120553882,0.07468664329518646,152,0.013157894736842105,0.0036158171874622162,0.04670108102456133
epm,2,2.0,130,0.1,0.059375488014095035,0.1635857609414501,130,0.06153846153846154,0.03150928515733301,0.11673669927470687
epm,2,3.0,176,0.09659090909090909,0.06118317119797047,0.14923248639755032,176,0.08522727272727272,0.05232790934065391,0.13584593579276888
epm,3,1.5,122,0.040983606557377046,0.01763071945527446,0.09236052627890128,122,0.040983606557377046,0.01763071945527446,0.09236052627890128
epm,3,2.0,82,0.08536585365853659,0.04196652499324202,0.1658754556278168,82,0.04878048780487805,0.019131065567745804,0.1188146192257594
epm,3,3.0,118,0.15254237288135594,0.09872232482421497,0.22827194466599302,118,0.07627118644067797,0.040643209517551585,0.13861809473879955
