method,j,r,n_trials,n_detected,detect_rate,median_time_to_detect
Poisson-MDSS,2,1.5,50,21,0.42,2.0
Poisson-MDSS,2,2.0,50,30,0.6,2.5
Poisson-MDSS,2,3.0,50,31,0.62,3.0
Poisson-MDSS,3,1.5,50,16,0.32,3.0
Poisson-MDSS,3,2.0,50,21,0.42,2.0
Poisson-MDSS,3,3.0,50,22,0.44,2.0
fgss,2,1.5,50,22,0.44,3.0
fgss,2,2.0,50,22,0.44,2.5
fgss,2,3.0,50,27,0.54,3.0
fgss,3,1.5,50,24,0.48,3.0
fgss,3,2.0,50,16,0.32,2.5
fgss,3,3.0,50,29,0.58,3.0
fpgrowth_epm,2,1.5,50,6,0.12,2.0
fpgrowth_epm,2,2.0,50,13,0.26,3.0
fpgrowth_epm,2,3.0,50,10,0.2,3.0
fpgrowth_epm,3,1.5,50,6,0.12,1.0
fpgrowth_epm,3,2.0,50,13,0.26,3.0
fpgrowth_epm,3,3.0,50,15,0.3,2.0
moving_average_mdss,2,1.5,50,10,0.2,3.0
moving_average_mdss,2,2.0,50,21,0.42,3.0
moving_average_mdss,2,3.0,50,27,0.54,2.0
moving_average_mdss,3,1.5,50,17,0.34,2.0
moving_average_mdss,3,2.0,50,20,0.4,2.0
moving_average_mdss,3,3.0,50,21,0.42,3.0
