peril_type,syndicate,group_class,placing_basis_group,leader_status,new_renewal,risk_code,loss_census_division,total_test_observed,unseen_features,first_window,last_window,n_2022-Q1,n_2022-Q2,n_2022-Q3,n_2022-Q4,n_2023-Q1,n_2023-Q2,n_2023-Q3,n_2023-Q4,n_2024-Q1,n_2024-Q2,n_2024-Q3,n_2024-Q4
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,39,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2022-Q2,2023-Q3,0,24,0,0,0,0,15,0,0,0,0,0
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,South Atlantic,37,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2024-Q1,2024-Q1,0,0,0,0,0,0,0,0,37,0,0,0
Tropical Cyclone - Wind (TC),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,32,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2023-Q1,2023-Q1,0,0,0,0,32,0,0,0,0,0,0,0
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,28,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2023-Q2,2024-Q4,0,0,0,0,0,12,0,0,0,9,0,7
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,27,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2024-Q1,2024-Q4,0,0,0,0,0,0,0,0,9,3,9,6
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Mountain,23,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2024-Q3,2024-Q4,0,0,0,0,0,0,0,0,0,0,1,22
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West North Central,22,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2024-Q2,2024-Q3,0,0,0,0,0,0,0,0,0,6,16,0
Tropical Cyclone - Precipitation Flood (PF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,22,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2023-Q3,2024-Q2,0,0,0,0,0,0,21,0,0,1,0,0
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,13,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2022-Q4,2023-Q2,0,0,0,1,2,10,0,0,0,0,0,0
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,8,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE,2024-Q1,2024-Q1,0,0,0,0,0,0,0,0,8,0,0,0
